r_m,theta_rad,mx,my
0.000000,0.785398163397,0.707106781187,0.707106781187
0.001000,0.785398163397,0.707106663341,0.707106663341
0.002000,0.785398163397,0.707106309776,0.707106309776
0.003000,0.785398163397,0.707105720526,0.707105720526
0.004000,0.785398163397,0.707104895564,0.707104895564
0.005000,0.785398163397,0.707103834899,0.707103834899
0.006000,0.785398163397,0.707102538528,0.707102538528
0.007000,0.785398163397,0.707101006450,0.707101006450
0.008000,0.785398163397,0.707099238660,0.707099238660
0.009000,0.785398163397,0.707097235158,0.707097235158
0.010000,0.785398163397,0.707094995940,0.707094995940
0.011000,0.785398163397,0.707092521005,0.707092521005
0.012000,0.785398163397,0.707089810347,0.707089810347
0.013000,0.785398163397,0.707086863965,0.707086863965
0.014000,0.785398163397,0.707083681854,0.707083681854
0.015000,0.785398163397,0.707080264008,0.707080264008
0.016000,0.785398163397,0.707076610425,0.707076610425
0.017000,0.785398163397,0.707072721098,0.707072721098
0.018000,0.785398163397,0.707068596023,0.707068596023
0.019000,0.785398163397,0.707064235193,0.707064235193
0.020000,0.785398163397,0.707059638604,0.707059638604
0.021000,0.785398163397,0.707054806249,0.707054806249
0.022000,0.785398163397,0.707049738121,0.707049738121
0.023000,0.785398163397,0.707044434213,0.707044434213
0.024000,0.785398163397,0.707038894518,0.707038894518
0.025000,0.785398163397,0.707033119029,0.707033119029
0.026000,0.785398163397,0.707027107738,0.707027107738
0.027000,0.785398163397,0.707020860636,0.707020860636
0.028000,0.785398163397,0.707014377716,0.707014377716
0.029000,0.785398163397,0.707007658968,0.707007658968
0.030000,0.785398163397,0.707000704384,0.707000704384
0.031000,0.785398163397,0.706993513953,0.706993513953
0.032000,0.785398163397,0.706986087666,0.706986087666
0.033000,0.785398163397,0.706978425514,0.706978425514
0.034000,0.785398163397,0.706970527485,0.706970527485
0.035000,0.785398163397,0.706962393569,0.706962393569
0.036000,0.785398163397,0.706954023755,0.706954023755
0.037000,0.785398163397,0.706945418031,0.706945418031
0.038000,0.785398163397,0.706936576386,0.706936576386
0.039000,0.785398163397,0.706927498808,0.706927498808
0.040000,0.785398163397,0.706918185285,0.706918185285
0.041000,0.785398163397,0.706908635803,0.706908635803
0.042000,0.785398163397,0.706898850350,0.706898850350
0.043000,0.785398163397,0.706888828913,0.706888828913
0.044000,0.785398163397,0.706878571478,0.706878571478
0.045000,0.785398163397,0.706868078031,0.706868078031
0.046000,0.785398163397,0.706857348558,0.706857348558
0.047000,0.785398163397,0.706846383044,0.706846383044
0.048000,0.785398163397,0.706835181474,0.706835181474
0.049000,0.785398163397,0.706823743834,0.706823743834
0.050000,0.785398163397,0.706812070107,0.706812070107
0.051000,0.785398163397,0.706800160277,0.706800160277
0.052000,0.785398163397,0.706788014330,0.706788014330
0.053000,0.785398163397,0.706775632247,0.706775632247
0.054000,0.785398163397,0.706763014013,0.706763014013
0.055000,0.785398163397,0.706750159609,0.706750159609
0.056000,0.785398163397,0.706737069020,0.706737069020
0.057000,0.785398163397,0.706723742226,0.706723742226
0.058000,0.785398163397,0.706710179210,0.706710179210
0.059000,0.785398163397,0.706696379953,0.706696379953
0.060000,0.785398163397,0.706682344436,0.706682344436
0.061000,0.785398163397,0.706668072641,0.706668072641
0.062000,0.785398163397,0.706653564548,0.706653564548
0.063000,0.785398163397,0.706638820137,0.706638820137
0.064000,0.785398163397,0.706623839388,0.706623839388
0.065000,0.785398163397,0.706608622281,0.706608622281
0.066000,0.785398163397,0.706593168795,0.706593168795
0.067000,0.785398163397,0.706577478909,0.706577478909
0.068000,0.785398163397,0.706561552601,0.706561552601
0.069000,0.785398163397,0.706545389851,0.706545389851
0.070000,0.785398163397,0.706528990635,0.706528990635
0.071000,0.785398163397,0.706512354933,0.706512354933
0.072000,0.785398163397,0.706495482720,0.706495482720
0.073000,0.785398163397,0.706478373974,0.706478373974
0.074000,0.785398163397,0.706461028672,0.706461028672
0.075000,0.785398163397,0.706443446790,0.706443446790
0.076000,0.785398163397,0.706425628304,0.706425628304
0.077000,0.785398163397,0.706407573190,0.706407573190
0.078000,0.785398163397,0.706389281423,0.706389281423
0.079000,0.785398163397,0.706370752978,0.706370752978
0.080000,0.785398163397,0.706351987830,0.706351987830
0.081000,0.785398163397,0.706332985954,0.706332985954
0.082000,0.785398163397,0.706313747323,0.706313747323
0.083000,0.785398163397,0.706294271911,0.706294271911
0.084000,0.785398163397,0.706274559692,0.706274559692
0.085000,0.785398163397,0.706254610639,0.706254610639
0.086000,0.785398163397,0.706234424724,0.706234424724
0.087000,0.785398163397,0.706214001920,0.706214001920
0.088000,0.785398163397,0.706193342200,0.706193342200
0.089000,0.785398163397,0.706172445534,0.706172445534
0.090000,0.785398163397,0.706151311894,0.706151311894
0.091000,0.785398163397,0.706129941252,0.706129941252
0.092000,0.785398163397,0.706108333578,0.706108333578
0.093000,0.785398163397,0.706086488843,0.706086488843
0.094000,0.785398163397,0.706064407017,0.706064407017
0.095000,0.785398163397,0.706042088070,0.706042088070
0.096000,0.785398163397,0.706019531970,0.706019531970
0.097000,0.785398163397,0.705996738688,0.705996738688
0.098000,0.785398163397,0.705973708192,0.705973708192
0.099000,0.785398163397,0.705950440451,0.705950440451
0.100000,0.785398163397,0.705926935433,0.705926935433
0.101000,0.785398163397,0.705903193105,0.705903193105
0.102000,0.785398163397,0.705879213435,0.705879213435
0.103000,0.785398163397,0.705854996391,0.705854996391
0.104000,0.785398163397,0.705830541939,0.705830541939
0.105000,0.785398163397,0.705805850045,0.705805850045
0.106000,0.785398163397,0.705780920676,0.705780920676
0.107000,0.785398163397,0.705755753798,0.705755753798
0.108000,0.785398163397,0.705730349376,0.705730349376
0.109000,0.785398163397,0.705704707376,0.705704707376
0.110000,0.785398163397,0.705678827762,0.705678827762
0.111000,0.785398163397,0.705652710498,0.705652710498
0.112000,0.785398163397,0.705626355549,0.705626355549
0.113000,0.785398163397,0.705599762879,0.705599762879
0.114000,0.785398163397,0.705572932452,0.705572932452
0.115000,0.785398163397,0.705545864229,0.705545864229
0.116000,0.785398163397,0.705518558175,0.705518558175
0.117000,0.785398163397,0.705491014252,0.705491014252
0.118000,0.785398163397,0.705463232422,0.705463232422
0.119000,0.785398163397,0.705435212646,0.705435212646
0.120000,0.785398163397,0.705406954887,0.705406954887
0.121000,0.785398163397,0.705378459105,0.705378459105
0.122000,0.785398163397,0.705349725261,0.705349725261
0.123000,0.785398163397,0.705320753316,0.705320753316
0.124000,0.785398163397,0.705291543230,0.705291543230
0.125000,0.785398163397,0.705262094963,0.705262094963
0.126000,0.785398163397,0.705232408474,0.705232408474
0.127000,0.785398163397,0.705202483722,0.705202483722
0.128000,0.785398163397,0.705172320667,0.705172320667
0.129000,0.785398163397,0.705141919266,0.705141919266
0.130000,0.785398163397,0.705111279478,0.705111279478
0.131000,0.785398163397,0.705080401260,0.705080401260
0.132000,0.785398163397,0.705049284570,0.705049284570
0.133000,0.785398163397,0.705017929366,0.705017929366
0.134000,0.785398163397,0.704986335603,0.704986335603
0.135000,0.785398163397,0.704954503238,0.704954503238
0.136000,0.785398163397,0.704922432228,0.704922432228
0.137000,0.785398163397,0.704890122528,0.704890122528
0.138000,0.785398163397,0.704857574094,0.704857574094
0.139000,0.785398163397,0.704824786880,0.704824786880
0.140000,0.785398163397,0.704791760841,0.704791760841
0.141000,0.785398163397,0.704758495932,0.704758495932
0.142000,0.785398163397,0.704724992107,0.704724992107
0.143000,0.785398163397,0.704691249320,0.704691249320
0.144000,0.785398163397,0.704657267523,0.704657267523
0.145000,0.785398163397,0.704623046670,0.704623046670
0.146000,0.785398163397,0.704588586713,0.704588586713
0.147000,0.785398163397,0.704553887605,0.704553887605
0.148000,0.785398163397,0.704518949298,0.704518949298
0.149000,0.785398163397,0.704483771744,0.704483771744
0.150000,0.785398163397,0.704448354893,0.704448354893
0.151000,0.785398163397,0.704412698696,0.704412698696
0.152000,0.785398163397,0.704376803105,0.704376803105
0.153000,0.785398163397,0.704340668069,0.704340668069
0.154000,0.785398163397,0.704304293539,0.704304293539
0.155000,0.785398163397,0.704267679464,0.704267679464
