r_m,d
0.232000,0.990974082004
0.233000,0.990895616886
0.234000,0.990816805761
0.235000,0.990737648517
0.236000,0.990658145041
0.237000,0.990578295219
0.238000,0.990498098937
0.239000,0.990417556079
0.240000,0.990336666530
0.241000,0.990255430175
0.242000,0.990173846897
0.243000,0.990091916579
0.244000,0.990009639103
0.245000,0.989927014351
0.246000,0.989844042205
0.247000,0.989760722544
0.248000,0.989677055249
0.249000,0.989593040201
0.250000,0.989508677277
0.251000,0.989423966356
0.252000,0.989338907316
0.253000,0.989253500035
0.254000,0.989167744390
0.255000,0.989081640255
0.256000,0.988995187508
0.257000,0.988908386024
0.258000,0.988821235676
0.259000,0.988733736338
0.260000,0.988645887885
0.261000,0.988557690189
0.262000,0.988469143122
0.263000,0.988380246555
0.264000,0.988291000361
0.265000,0.988201404409
0.266000,0.988111458569
0.267000,0.988021162711
0.268000,0.987930516704
0.269000,0.987839520415
0.270000,0.987748173713
0.271000,0.987656476464
0.272000,0.987564428535
0.273000,0.987472029791
0.274000,0.987379280099
0.275000,0.987286179322
0.276000,0.987192727325
0.277000,0.987098923972
0.278000,0.987004769125
0.279000,0.986910262646
0.280000,0.986815404398
0.281000,0.986720194242
0.282000,0.986624632037
0.283000,0.986528717645
0.284000,0.986432450925
0.285000,0.986335831735
0.286000,0.986238859933
0.287000,0.986141535378
0.288000,0.986043857926
0.289000,0.985945827433
0.290000,0.985847443756
0.291000,0.985748706749
0.292000,0.985649616268
0.293000,0.985550172165
0.294000,0.985450374295
0.295000,0.985350222511
0.296000,0.985249716663
0.297000,0.985148856605
0.298000,0.985047642187
0.299000,0.984946073258
0.300000,0.984844149670
0.301000,0.984741871271
0.302000,0.984639237909
0.303000,0.984536249432
0.304000,0.984432905688
0.305000,0.984329206523
0.306000,0.984225151783
0.307000,0.984120741314
0.308000,0.984015974960
0.309000,0.983910852566
0.310000,0.983805373974
0.311000,0.983699539028
0.312000,0.983593347570
0.313000,0.983486799442
0.314000,0.983379894484
0.315000,0.983272632537
0.316000,0.983165013441
0.317000,0.983057037034
0.318000,0.982948703155
0.319000,0.982840011643
0.320000,0.982730962333
0.321000,0.982621555063
0.322000,0.982511789668
0.323000,0.982401665983
0.324000,0.982291183844
0.325000,0.982180343084
0.326000,0.982069143537
0.327000,0.981957585034
0.328000,0.981845667408
0.329000,0.981733390491
0.330000,0.981620754113
0.331000,0.981507758103
0.332000,0.981394402292
0.333000,0.981280686508
0.334000,0.981166610579
0.335000,0.981052174332
0.336000,0.980937377595
0.337000,0.980822220192
0.338000,0.980706701951
0.339000,0.980590822694
0.340000,0.980474582247
0.341000,0.980357980432
0.342000,0.980241017073
0.343000,0.980123691991
0.344000,0.980006005008
0.345000,0.979887955945
0.346000,0.979769544621
0.347000,0.979650770855
0.348000,0.979531634467
0.349000,0.979412135275
0.350000,0.979292273095
0.351000,0.979172047744
0.352000,0.979051459038
0.353000,0.978930506792
0.354000,0.978809190821
0.355000,0.978687510939
0.356000,0.978565466959
0.357000,0.978443058692
0.358000,0.978320285952
0.359000,0.978197148548
0.360000,0.978073646292
0.361000,0.977949778993
